ticker,model,feature,importance
AXP,CatBoostClassifier,macd_signal,3.7749880401778215
AXP,CatBoostClassifier,macd_hist,1.761198339059105
AXP,CatBoostClassifier,momentum_10,0.39112460427986456
AXP,CatBoostClassifier,roc_10,0.35732554950954865
AXP,CatBoostClassifier,roc_20,0.44579704913308404
AXP,CatBoostClassifier,roc_60,2.5786375615979096
AXP,CatBoostClassifier,stoch_k_14,0.25194927805529255
AXP,CatBoostClassifier,stoch_d_3,0.42022746313074627
AXP,CatBoostClassifier,williams_r_14,0.14849833310839838
AXP,CatBoostClassifier,cci_20,0.6429080079048405
AXP,CatBoostClassifier,bb_percent_b_20,0.5352838183049525
AXP,CatBoostClassifier,bb_bandwidth_20,2.3736029711505062
AXP,CatBoostClassifier,donchian_pos_20,0.18070113536201637
AXP,CatBoostClassifier,rolling_std_10,1.1009805207352397
AXP,CatBoostClassifier,rolling_std_20,2.908599253942154
AXP,CatBoostClassifier,rolling_std_60,19.507279842158404
AXP,CatBoostClassifier,atr_14,3.1744268344300464
AXP,CatBoostClassifier,adx_14,5.180303460506375
AXP,CatBoostClassifier,sharpe_20,0.702264567997006
AXP,CatBoostClassifier,sharpe_60,2.617177444236783
AXP,CatBoostClassifier,volume_change,0.3185034805621269
AXP,CatBoostClassifier,volume_sma_20,0.31694237998526653
AXP,CatBoostClassifier,volume_zscore_20,0.19088049686374622
AXP,CatBoostClassifier,dollar_volume_20,11.862901900659708
AXP,CatBoostClassifier,obv,3.046203786282977
AXP,CatBoostClassifier,close_to_52w_high,13.400514921463698
AXP,CatBoostClassifier,close_to_52w_low,13.80566290594487
AXP,CatBoostClassifier,price_position_252d,2.437306698491054
KO,RandomForest,return_1d,0.00022382599496214813
KO,RandomForest,return_5d,0.0013160391160156257
KO,RandomForest,return_10d,0.001180561933602594
KO,RandomForest,return_20d,0.002499622999389796
KO,RandomForest,log_return_1d,0.0003824240332119547
KO,RandomForest,price_change,0.0003875880596865121
KO,RandomForest,high_low_spread,0.0028532984192917673
KO,RandomForest,open_close_spread,0.0007429673075034951
KO,RandomForest,sma_5,0.002138225362418537
KO,RandomForest,sma_10,0.0016130737935870613
KO,RandomForest,sma_20,0.0022200553827456896
KO,RandomForest,sma_50,0.015216943089187591
KO,RandomForest,sma_100,0.06409364800014448
KO,RandomForest,ema_12,0.0005749760148379153
KO,RandomForest,ema_26,0.002852072190545795
KO,RandomForest,rsi_14,0.009096680435822065
KO,RandomForest,macd,0.01379968466889339
KO,RandomForest,macd_signal,0.03846498719921542
KO,RandomForest,macd_hist,0.005793196967849917
KO,RandomForest,momentum_10,0.004361130493862934
KO,RandomForest,roc_10,0.001201050779602585
KO,RandomForest,roc_20,0.0016860228083606787
KO,RandomForest,roc_60,0.015162861809563338
KO,RandomForest,stoch_k_14,0.0005354724529902464
KO,RandomForest,stoch_d_3,0.003123311751935072
KO,RandomForest,williams_r_14,0.0005634558037722217
KO,RandomForest,cci_20,0.003931866037898896
KO,RandomForest,bb_percent_b_20,0.0012849513476428879
